ID,postTime,nLike,prediction,probability
21472209764,20191108-171427,1,book_jacket, 24.300110340118408
9363001697,20191111-002537,2,electric_guitar, 99.41039681434631
5495233750,20191110-000846,13,soccer_ball, 72.61066436767578
14056097301,20191109-023307,1,wig, 25.19020438194275
1575825181,20191107-210204,6,mortarboard, 19.19715702533722
8968109771,20191110-145243,31,soccer_ball, 38.25158476829529
23433098569,20191108-031320,1,running_shoe, 98.12260866165161
270462352,20191107-084406,2,park_bench, 40.441325306892395
3245432186,20191110-165207,3,window_screen, 29.189366102218628
1448545993,20191109-222626,28,stole, 11.683300882577896
7061046712,20191107-114650,1,dome, 43.29199194908142
11868084129,20191107-105042,1,church, 96.33439183235168
23096197281,20191106-192629,14,sunscreen, 19.91676241159439
1303074969,20191108-174930,1,altar, 40.563711524009705
17457026482,20191108-021835,34,chimpanzee, 54.71007227897644
251980018,20191108-150028,159,punching_bag, 20.245783030986786
4478039782,20191109-001606,34,gown, 25.161951780319214
13337005407,20191108-115240,2,envelope, 26.448744535446167
10949562016,20191109-212551,10,web_site, 64.2621397972107
3542639042,20191110-234511,6,bib, 23.84939342737198
2024514344,20191110-215140,3,hand_blower, 62.68587112426758
12016113231,20191110-133543,1,milk_can, 52.8724730014801
15523601070,20191107-091921,1,alp, 18.30604523420334
11768775752,20190902-041052,57,soccer_ball, 46.96110785007477
5374162093,20191110-105631,1,fur_coat, 66.6405439376831
21209342712,20191108-195517,1,overskirt, 59.07008647918701
6871839403,20191109-185222,19,swimming_trunks, 76.1275053024292
227030060,20191110-212018,9,cliff, 41.680341958999634
371776263,20191110-111109,2,swimming_trunks, 19.634106755256653
24311681929,20191109-212547,7,seashore, 47.71174192428589
22098054480,20191107-194303,44,refrigerator, 10.192162543535233
255864237,20191108-225719,3,castle, 10.74015349149704
11335917399,20191109-004807,6,ballplayer, 29.72787320613861
483706191,20191110-125410,1,butcher_shop, 49.56315755844116
3860673707,20191110-164132,1,cowboy_boot, 99.52501058578491
7523917646,20191108-232225,1,palace, 83.87138843536377
973980084,20191110-175931,3,jean, 27.96785831451416
201057851,20191107-212541,1,fountain, 31.391361355781555
6447432876,20191110-120020,1,plate, 92.66088008880615
17344937444,20191110-215323,2,balance_beam, 33.64635407924652
4696798219,20191108-171501,1,sweatshirt, 23.455169796943665
23295151502,20191110-134603,2,valley, 27.53019630908966
535010084,20191107-194956,17,palace, 22.973760962486267
1512353170,20191107-095025,4,toyshop, 49.22235608100891
1659143531,20191107-084324,1,comic_book, 20.899270474910736
1944244641,20191110-180022,1,horizontal_bar, 70.8166241645813
971419396,20191109-122816,3,comic_book, 12.785281240940094
6261857492,20191107-090616,2,palace, 99.0123450756073
1721948686,20191107-101401,3,ping-pong_ball, 92.98213124275208
7656483403,20191107-113418,2,vase, 25.23362636566162
44898201,20191108-140101,4,mortarboard, 24.49784278869629
6093569479,20191109-013712,4,church, 17.67120063304901
10385517145,20191101-102236,81,vestment, 9.967579692602158
15943135448,20191110-215253,1,thimble, 21.37443870306015
9213482575,20191109-003409,1,palace, 61.82350516319275
903965365,20191107-080607,4,ice_cream, 31.829485297203064
143571120,20191110-143127,2,fur_coat, 41.94797873497009
7474287189,20191107-235208,2,scoreboard, 37.45938539505005
1499934327,20191109-164826,1,beer_glass, 24.650463461875916
1837943295,20191109-004833,1,tabby, 27.4874210357666
4263993885,20191109-131215,2,shower_curtain, 51.57136917114258
9216356863,20191107-080952,1,spider_web, 23.493969440460205
214092722,20191110-224944,6,miniskirt, 84.4053864479065
23389397753,20191109-233324,12,prison, 42.63893365859985
2315120564,20191110-211028,1,harmonica, 47.54987359046936
27515285,20191109-234504,4,tobacco_shop, 17.339326441287994
1324931826,20191108-131304,2,poncho, 25.444215536117554
2097700826,20191109-185103,67,umbrella, 5.541674792766571
651729641,20191109-211355,16,sunglasses, 86.3572359085083
330164740,20191108-221320,1,balance_beam, 21.129406988620758
471931859,20191108-231020,1,airship, 11.211548745632172
1833721232,20191109-233457,1,sweatshirt, 51.235270500183105
3087659113,20191110-222808,2,wig, 40.518349409103394
9486098569,20191107-083044,1,stage, 55.76859712600708
1636442210,20191108-201822,1,breastplate, 37.25529909133911
10082779510,20191109-124254,40,throne, 21.191328763961792
2101124534,20191110-105512,7,jean, 20.249120891094208
8038219089,20191110-213013,6,jigsaw_puzzle, 12.491776794195175
