,ID,hashtag,prediction
804,3403895460.0,STARBUCKS,coffee_mug
807,4576050908.0,STARBUCKS,bucket
811,540180655.0,STARBUCKS,coffee_mug
814,55107789.0,STARBUCKS,eggnog
819,6659144844.0,STARBUCKS,cup
822,8358339.0,STARBUCKS,eggnog
828,1329710336.0,STARBUCKS,coffee_mug
837,1832929744.0,STARBUCKS,bucket
840,210165810.0,STARBUCKS,Christmas_stocking
846,282490247.0,STARBUCKS,bucket
852,3470875085.0,STARBUCKS,cup
853,3686591858.0,STARBUCKS,cup
855,4181396841.0,STARBUCKS,bucket
857,4661478193.0,STARBUCKS,wig
858,6186225415.0,STARBUCKS,Christmas_stocking
861,8294750678.0,STARBUCKS,cup
864,12568806226.0,STARBUCKS,ice_cream
867,1522606062.0,STARBUCKS,packet
882,300441309.0,STARBUCKS,cup
890,4147487640.0,STARBUCKS,Christmas_stocking
891,4358901570.0,STARBUCKS,eggnog
892,4590478827.0,STARBUCKS,coffee_mug
893,46402341.0,STARBUCKS,coffee_mug
899,8936759830.0,STARBUCKS,coffee_mug
902,10438916255.0,STARBUCKS,Christmas_stocking
904,11113042660.0,STARBUCKS,bucket
908,1358179476.0,STARBUCKS,packet
920,24258487459.0,STARBUCKS,eggnog
924,24767153146.0,STARBUCKS,bucket
928,387610191.0,STARBUCKS,bucket
930,670807029.0,STARBUCKS,cup
933,813008678.0,STARBUCKS,coffee_mug
935,8735502975.0,STARBUCKS,coffee_mug
936,8771282383.0,STARBUCKS,packet
938,9631557943.0,STARBUCKS,ice_cream
942,11411051753.0,STARBUCKS,coffee_mug
944,12568806226.0,STARBUCKS,Christmas_stocking
946,1514585456.0,STARBUCKS,wig
947,16716544806.0,STARBUCKS,bucket
948,1801648583.0,STARBUCKS,Christmas_stocking
952,19059630288.0,STARBUCKS,Christmas_stocking
957,2309527481.0,STARBUCKS,cup
958,2325413.0,STARBUCKS,espresso
962,282490247.0,STARBUCKS,coffee_mug
966,38088556.0,STARBUCKS,espresso
969,501295190.0,STARBUCKS,bucket
981,1717755784.0,STARBUCKS,coffee_mug
982,18098563609.0,STARBUCKS,web_site
984,19959910643.0,STARBUCKS,bucket
985,209312150.0,STARBUCKS,eggnog
987,2132023300.0,STARBUCKS,cup
991,2284246606.0,STARBUCKS,eggnog
994,24767153146.0,STARBUCKS,web_site
998,3258835079.0,STARBUCKS,web_site
1003,4356054985.0,STARBUCKS,web_site
1004,4939761686.0,STARBUCKS,Christmas_stocking
1008,6738079521.0,STARBUCKS,packet
1016,11789934301.0,STARBUCKS,eggnog
1018,12396718352.0,STARBUCKS,eggnog
1026,198326828.0,STARBUCKS,cup
1027,20777032.0,STARBUCKS,web_site
1030,2242064897.0,STARBUCKS,wig
1031,24541699408.0,STARBUCKS,web_site
1034,3231307713.0,STARBUCKS,packet
1036,3495095485.0,STARBUCKS,web_site
1043,652215787.0,STARBUCKS,eggnog
1045,6864969143.0,STARBUCKS,bucket
1047,7302007418.0,STARBUCKS,bucket
1049,8601987372.0,STARBUCKS,coffee_mug
1051,907564018.0,STARBUCKS,bucket
1053,11066611992.0,STARBUCKS,Christmas_stocking
1054,1273839758.0,STARBUCKS,Christmas_stocking
1058,17407553546.0,STARBUCKS,Christmas_stocking
1059,1912514252.0,STARBUCKS,coffee_mug
1061,2101957895.0,STARBUCKS,coffee_mug
1062,2112446051.0,STARBUCKS,packet
1063,2137737635.0,STARBUCKS,packet
1076,366317045.0,STARBUCKS,ice_cream
1077,443953345.0,STARBUCKS,bucket
1082,5357642.0,STARBUCKS,espresso
1083,5943272020.0,STARBUCKS,bucket
1085,6822198653.0,STARBUCKS,Christmas_stocking
1086,6943195586.0,STARBUCKS,coffee_mug
1095,12263388803.0,STARBUCKS,cup
1098,16137132597.0,STARBUCKS,espresso
1100,1823931199.0,STARBUCKS,wig
1110,251720094.0,STARBUCKS,web_site
1116,52527376.0,STARBUCKS,web_site
1119,5643426017.0,STARBUCKS,espresso
1122,7019681947.0,STARBUCKS,eggnog
1124,7671511190.0,STARBUCKS,eggnog
1125,8163589539.0,STARBUCKS,eggnog
1129,10910788205.0,STARBUCKS,coffee_mug
1134,13101926879.0,STARBUCKS,bucket
1139,177179601.0,STARBUCKS,Christmas_stocking
1140,18032950573.0,STARBUCKS,cup
1141,20170611584.0,STARBUCKS,web_site
1143,2040714829.0,STARBUCKS,cup
1144,21162574800.0,STARBUCKS,eggnog
1145,2200613308.0,STARBUCKS,wig
1148,230790619.0,STARBUCKS,bucket
1149,24767153146.0,STARBUCKS,coffee_mug
1151,3202471676.0,STARBUCKS,eggnog
1152,351337172.0,STARBUCKS,eggnog
1153,362298767.0,STARBUCKS,Christmas_stocking
1160,7621029191.0,STARBUCKS,Christmas_stocking
1166,9162673188.0,STARBUCKS,ice_cream
1172,1411843290.0,STARBUCKS,Christmas_stocking
1174,1643505135.0,STARBUCKS,Christmas_stocking
1175,1737959486.0,STARBUCKS,eggnog
1177,1954883041.0,STARBUCKS,coffee_mug
1179,20282586607.0,STARBUCKS,ice_cream
1184,24512843755.0,STARBUCKS,web_site
1193,42600720.0,STARBUCKS,coffee_mug
1194,4269917434.0,STARBUCKS,eggnog
1198,8406802389.0,STARBUCKS,web_site
1201,8735502975.0,STARBUCKS,coffee_mug
1202,9515473788.0,STARBUCKS,espresso
1203,9914796838.0,STARBUCKS,bucket
1210,1495028368.0,STARBUCKS,espresso
1213,1964204958.0,STARBUCKS,web_site
1215,21614661830.0,STARBUCKS,eggnog
1230,4491637529.0,STARBUCKS,web_site
1234,5779604111.0,STARBUCKS,web_site
1237,7137140982.0,STARBUCKS,packet
